total deviance | predicted | actual
0.005213877989273452 | 0.6590826,0.7325764,0.1900017 | 0.6595202658488403,0.7278207045193659,0.18790966182612642
0.0042340614229811994 | 0.8215218,0.29419005,0.49388906 | 0.8211380099027139,0.2913828323202679,0.4907427164228007
0.016427343438509427 | 0.6919778,0.7158435,0.12315413 | 0.6854763747441648,0.7148571279858791,0.1382079094530334
0.0141042167659999 | 0.89136136,0.18779546,0.4186671 | 0.8912826346845926,0.17369282121409854,0.4188628283440516
0.007429408170519617 | 0.16451076,0.67582685,0.72399503 | 0.16564107203743636,0.6685509152263615,0.7249846267365145
0.00960687610358897 | 0.80896527,0.20702654,0.55451655 | 0.8099141755278342,0.1977494547547632,0.5522084583047079
0.009904922337336482 | 0.93630004,0.020074548,0.35825035 | 0.9313748521622306,0.0272072060040866,0.3630435961440913
0.005481785943513385 | 0.7574129,0.38262373,0.53755826 | 0.7523070493209978,0.3834342348636922,0.5357352807837362
0.012568384428606534 | 0.6154528,0.46466726,0.64513475 | 0.6210018010590769,0.45743188068531204,0.6364847504960988
0.017098716644700203 | 0.715868,0.6486122,0.26999775 | 0.7132649931778534,0.6533393787029146,0.25377294131385714
0.010517482137914338 | 0.33767682,0.47922876,0.81570774 | 0.34197502664710144,0.46981405895601824,0.8138352604532353
0.017357465271753716 | 0.7465815,0.06862259,0.66910416 | 0.7384243487145955,0.053617587779308265,0.6722013355432682
0.02203562020752083 | 0.5140517,0.59936076,0.62352234 | 0.5042709235830981,0.5840907133926064,0.636041566375316
0.01662812023100365 | 0.7574129,0.38262373,0.53755826 | 0.7550445012380204,0.3671713212683125,0.5432246514917292
0.010718309865100436 | 0.62029505,0.39398313,0.6870608 | 0.6204866439346696,0.3964436206102135,0.6766304607214751
0.025273132020688698 | 0.0558888,0.54475856,0.83884686 | 0.03362439835839804,0.5342911889785891,0.8446314730193765
0.017330959978403993 | 0.26592624,0.25399595,0.9339627 | 0.25682511972643446,0.26774685183588937,0.9286293562070246
0.011478434277860182 | 0.14300567,0.026825989,0.9944394 | 0.1414212919216567,0.03694606731781976,0.9892598274977897
0.01900209114902922 | 0.756964,0.5185532,0.40318015 | 0.7675012781079043,0.5057290802128268,0.39392878230693107
0.01380722526810141 | 0.23655386,0.9058767,0.36088243 | 0.24691947160252642,0.8976987379406298,0.364921567522844
0.012405261201002216 | 0.14151312,0.8702571,0.47911403 | 0.148314259285676,0.8707890449389667,0.4687529410113856
0.0033326807385517816 | 0.6797858,0.730276,0.08986804 | 0.6806852338722587,0.7270957443077961,0.08943931460918193
0.009697226562280236 | 0.34169793,0.57809883,0.74816436 | 0.3347050548937657,0.5714707949660242,0.7492620747972378
0.014018755527099015 | 0.198598,0.59708494,0.7824126 | 0.18519197536538923,0.5931362456306776,0.783513450030955
0.01587057727744651 | 0.9128578,0.1811176,0.3716161 | 0.9089862639604422,0.16895554328642642,0.38104854851321196
0.02023621019816623 | 0.7312845,0.3270756,0.6066839 | 0.7308715026110096,0.30704735540549927,0.6095480032036968
0.005473338618639176 | 0.7852286,0.5949343,0.18658814 | 0.7808772967510962,0.5969796185302617,0.18397277645935442
0.025711732472763496 | 0.14314002,0.7853605,0.6087209 | 0.14519090973167734,0.7663031442639376,0.6258586827890869
0.012878833991587285 | 0.18700193,0.9775761,0.12622222 | 0.19766516622964347,0.9727970274138797,0.12080739014698781
0.01662782352757075 | 0.38226128,0.8791694,0.30036578 | 0.3685644667821904,0.8765904898329457,0.30943391371987017
0.011277582533694293 | 0.9376432,0.2955695,0.18739596 | 0.9406729471462346,0.28768146901184527,0.17992714885309574
0.007184300678500746 | 0.44225425,0.79691964,0.41898546 | 0.44660181494494716,0.7924475610507322,0.41541988622672504
0.01631567190708926 | 0.059819967,0.6570341,0.7545534 | 0.056065259346136966,0.6437201312567931,0.7632044806663465
0.0039925270974242 | 0.7172346,0.70109016,0.0025438366 | 0.716671646017414,0.6974098776081294,0.001102002406744961
0.03155982355736688 | 0.80896527,0.20702654,0.55451655 | 0.8157839399137775,0.17643869947342494,0.5507866635158124
0.013234925661639854 | 0.6590826,0.7325764,0.1900017 | 0.6624781134557324,0.7224790929777511,0.19785527388012603
0.011672697150215518 | 0.8355869,0.5429924,0.09968647 | 0.8394258142525209,0.533261272956272,0.10486523318788042
0.010977660075949455 | 0.5889911,0.76360875,0.27788374 | 0.5842861283053759,0.7591939183061145,0.28676526058245355
0.01813392292466315 | 0.66623145,0.7445353,0.074315995 | 0.6714993588223218,0.7387347124047118,0.05796236528591998
0.005039625997007082 | 0.90323746,0.41215584,0.110168606 | 0.9057790219749926,0.4085251864547737,0.11256791453215247
0.013018746758727431 | 0.06856662,0.74429,0.6698683 | 0.08046600016410672,0.7426244909225759,0.6648564418726609
0.005552620968714563 | 0.43428752,0.8993029,0.08300331 | 0.4300018796968848,0.8986767791592932,0.08647791658582427
0.010515453862996437 | 0.33451495,0.6258715,0.7104514 | 0.34148370719024906,0.6184868964570326,0.7077166358328397
0.01779374742513991 | 0.64073414,0.16939542,0.75461227 | 0.6427284143179738,0.15212105466439987,0.7508391106995517
0.009798789768642235 | 0.096679986,0.7446885,0.6651245 | 0.08889687850488219,0.7392476739237205,0.6675404269334232
0.009167742766560126 | 0.716137,0.2828232,0.6462236 | 0.7106741571871155,0.27554237154167865,0.647316494299018
0.010998293199277316 | 0.8863373,0.2655574,0.38425592 | 0.8823138125800317,0.2754530343335355,0.38163852269777043
0.022808545983501027 | 0.7543548,0.3247922,0.5782831 | 0.7604828945093446,0.303200182074789,0.5742259283143734
0.02088764522061259 | 0.2526713,0.34492972,0.9100509 | 0.2409270436871085,0.35985918077022405,0.9013631508085813
0.0197037197250867 | 0.7905795,0.37365472,0.49273488 | 0.7882707712885284,0.35626283711032347,0.5017030815395612
0.03128834228239542 | 0.41045055,0.91552025,0.03469625 | 0.4195693229997291,0.9077047369730584,0.005804625243713496
0.011456807538688715 | 0.72783566,0.67853296,0.11238703 | 0.7272467380025658,0.6752043772799586,0.12333381923305038
0.012018072142297808 | 0.64444244,0.58601815,0.5010872 | 0.6468983152006705,0.574271359152835,0.5017319761060574
0.013655860882817858 | 0.9482681,0.2190882,0.23787954 | 0.9495599168759472,0.21916237736193506,0.2242851234736918
0.004514662677742129 | 0.64772296,0.709372,0.28678384 | 0.6479349021456189,0.7072494271066977,0.28280489818741644
0.021218601650192122 | 0.09927884,0.64154714,0.76268405 | 0.1082732125765119,0.6252534511321477,0.772874526223824
0.005674511143902667 | 0.7340941,0.2705763,0.63125306 | 0.7296222759657793,0.26769499780049283,0.6292779374545961
0.022848700945641426 | 0.22101101,0.67936355,0.70492905 | 0.21717556805518928,0.6611291573528616,0.7181524976895931
0.014567616990874652 | 0.80063444,0.43511772,0.41575935 | 0.7914536216371045,0.4375331833171885,0.42680894823543547
0.014237123253947534 | 0.70296115,0.49882808,0.5131807 | 0.7033250641076699,0.4858192678212624,0.5189542303629042
0.02205726935715406 | 0.21165068,0.070209764,0.9809366 | 0.19027210342387132,0.06495237878405576,0.9795803770742594
0.007795107711658986 | 0.6405206,0.7547518,0.16588631 | 0.6430413097169319,0.747437323904891,0.16683920651761702
0.02282836408251511 | 0.46682724,0.60372955,0.6572003 | 0.457788158570823,0.5860903966925224,0.6685267749141666
0.01331476032944573 | 0.93235004,0.3554069,0.06411806 | 0.9284057704070013,0.3642807586826948,0.07322741514311842
0.016706945329434786 | 0.04023628,0.9576631,0.28758457 | 0.03519998551193918,0.952455056788393,0.3026389363881954
0.013482274381847787 | 0.3156966,0.9492752,0.08500174 | 0.315517110048543,0.9439110666527698,0.09736966425456083
